layer,multiplier,index,origin,loss
8,0.5,20,openwebtext-128-64,10.46700382232666
8,1.0,20,openwebtext-128-64,16.545934677124023
0,0.0,21,openwebtext-128-64,2.4852962493896484
1,0.0,21,openwebtext-128-64,2.4852962493896484
2,0.0,21,openwebtext-128-64,2.4852962493896484
3,0.0,21,openwebtext-128-64,2.4852962493896484
4,0.0,21,openwebtext-128-64,2.4852962493896484
5,0.0,21,openwebtext-128-64,2.4852962493896484
6,0.0,21,openwebtext-128-64,2.4852962493896484
7,0.0,21,openwebtext-128-64,2.4852962493896484
8,0.0,21,openwebtext-128-64,2.4852962493896484
9,0.0,21,openwebtext-128-64,2.4852962493896484
10,0.0,21,openwebtext-128-64,2.4852962493896484
11,0.0,21,openwebtext-128-64,2.4852962493896484
8,-1.0,21,openwebtext-128-64,2.6544294357299805
8,-0.5,21,openwebtext-128-64,2.5759775638580322
8,-0.2,21,openwebtext-128-64,2.5308029651641846
8,-0.15,21,openwebtext-128-64,2.5244510173797607
8,-0.1,21,openwebtext-128-64,2.5141444206237793
